9000 10000
7964 538 94
622 7340 32
7287 8159 15
6056 520 85
655 5888 37
3338 7772 14
2918 8742 86
5666 3334 57
2381 8470 41
1087 4491 18
4167 819 54
2417 4361 50
4702 4663 69
3119 499 23
5765 6325 68
8559 6706 25
8277 6252 38
6259 38 35
7651 6154 65
3405 6578 39
2661 997 8
5490 2405 80
4086 3715 88
7942 5983 13
1183 3890 71
6527 6098 12
6335 267 67
7088 8362 49
3901 6892 9
8934 7404 8
4481 8837 22
1477 1186 66
5814 8096 40
2662 4947 89
6867 8978 57
1055 5060 92
1376 3088 88
6067 6900 76
6435 7361 1
1989 749 12
3559 82 42
7926 2432 49
5635 4000 9
4556 6297 2
104 5283 22
3148 2350 18
55 7940 45
2686 1135 16
8540 2063 1
3631 5726 23
5466 5054 49
8841 7920 27
6858 5416 81
1471 7866 99
1273 233 8
286 1934 43
2540 4905 78
6358 1419 87
3967 7564 10
1885 6611 70
1406 1258 25
5624 2370 44
3315 1346 21
6502 4246 47
8405 8950 7
6264 6747 60
2930 2252 44
3204 764 19
2129 1801 97
3430 753 63
2683 7334 81
5393 8672 12
7065 5398 73
5587 3816 61
3186 1412 56
4094 7276 33
8838 3794 27
2904 3878 75
234 8347 74
8615 4010 56
1955 7429 2
4661 1818 81
874 1764 35
3848 5864 71
3745 1352 55
1412 1947 2
4361 2636 33
8025 4631 38
8414 6253 75
2802 358 62
8580 426 74
2179 4534 17
2470 2126 12
3525 4894 44
7905 3714 75
6401 6688 25
8185 481 91
3894 2952 6
859 5073 13
3896 4063 60
2626 6963 85
5807 6635 20
2319 2987 14
7887 6643 56
4156 216 48
3016 1602 43
3626 5225 7
1180 743 70
5900 5624 97
1381 8905 80
763 3326 81
2869 2844 78
3941 1329 79
2299 3922 23
1110 3004 41
5530 4384 73
4771 1321 26
8272 7824 70
5277 4069 100
511 1561 95
2409 1832 49
7903 651 19
26 5054 8
4292 2802 95
8002 3559 43
6936 2989 15
5799 5401 46
1160 4351 21
7878 7486 23
3080 626 32
5435 3482 68
56 11 96
7673 889 51
4398 5305 51
5647 1383 18
318 7722 42
8923 5131 97
6871 5511 41
8110 1046 33
1667 1857 33
4085 2879 70
4991 2525 88
8012 7010 35
377 4778 82
8697 6511 45
7549 1288 75
4121 30 26
4792 309 62
6382 8783 98
3797 5621 67
7458 2968 60
7975 6393 27
3824 6845 29
1766 4114 95
8964 8397 86
491 6508 80
1902 2354 28
8480 7725 92
8047 2281 31
4536 4979 44
7555 2934 28
2779 8068 51
271 1729 41
2908 850 16
4402 5374 18
4315 8613 89
5835 7365 62
4008 1761 67
4949 4932 64
3599 7863 81
2382 1268 33
1514 8622 28
7389 420 89
4594 3490 36
5526 76 33
3592 7626 22
1044 999 26
4616 3948 66
8800 3524 46
8722 3728 99
1850 3318 97
5046 6110 95
7747 1779 78
6094 369 49
1923 3946 94
4950 7421 100
2856 2168 55
5904 8333 82
8034 5752 92
8066 9000 40
6870 2279 39
3979 3914 13
5254 6833 77
1038 5766 21
7404 1047 87
238 5707 49
8757 8652 90
8400 4418 72
665 167 53
8316 3555 58
2972 6416 77
6994 4559 34
7894 2907 7
787 5710 85
2001 2451 63
7927 1260 67
31 2395 44
4448 3026 21
4373 2391 34
5446 1388 74
2667 3326 66
1447 2524 37
4442 8195 49
8153 589 35
8284 7654 3
7481 2423 48
1053 4056 93
7528 124 12
7171 8884 99
8594 4330 30
8132 5721 61
2360 1011 64
4295 8679 13
8093 8286 68
3572 8743 39
831 6777 1
1368 7769 89
1312 8795 69
6444 7995 50
4884 1271 29
6055 2482 27
6548 7009 5
5336 586 82
4112 7316 51
254 3370 28
320 3174 85
6392 7059 8
2319 471 58
4350 2788 7
8058 4593 96
3082 4960 24
7136 4004 53
3617 4004 94
8733 4338 18
1095 5626 96
8022 1315 77
792 8656 46
4802 8682 39
7508 5695 38
7034 7587 99
8814 4012 24
4788 5268 76
153 3344 98
630 2901 35
377 5628 42
4673 2806 24
4343 4955 30
7252 6998 18
8572 6726 34
3434 3401 58
4996 8429 62
6732 4901 23
4621 756 80
2436 1494 88
7346 7794 50
8334 4764 95
2344 7350 5
8651 670 67
2387 6775 80
5202 1248 62
8989 7359 8
1834 6396 21
6424 7318 60
763 1498 45
5351 1278 64
5116 1024 34
3705 7235 65
3902 6063 51
6584 2826 56
3012 7717 58
7055 7789 6
3661 4154 69
3161 8141 59
710 1180 92
647 5342 49
4208 2238 64
8654 1265 66
4123 3543 15
4607 7084 74
4630 1051 75
1020 8691 89
5028 4219 95
291 7047 34
6583 518 35
3410 8854 74
5511 8093 78
6915 5238 15
1217 8456 67
2978 3399 85
7327 1483 99
4047 6234 3
5463 2230 79
1097 6260 26
6364 3013 32
7411 1996 37
1594 2403 68
2610 7552 34
1647 5247 96
1589 5174 10
973 5403 49
8706 4918 60
3178 2133 14
6020 6402 24
7832 5973 38
4411 6828 31
4772 6136 11
2877 2357 28
6682 7583 88
1714 3715 26
6687 457 64
6032 8416 78
3032 6468 85
7147 119 90
2337 319 69
623 5839 3
4252 1916 43
8679 7820 87
6923 155 89
3629 5331 75
7034 8002 73
8387 4650 2
255 6879 1
7691 5993 87
4949 1384 10
8771 16 60
7800 5845 9
2200 1862 80
6901 3258 27
1219 1547 48
8250 179 81
711 60 15
2830 6495 30
1801 4708 54
1005 4560 87
2061 8018 50
5418 8238 77
3583 769 19
8482 7771 15
4363 182 39
2826 7114 29
5817 5786 71
6012 3709 1
8487 7345 77
5757 2581 85
2591 2301 19
7020 8144 78
8155 7034 56
8732 5070 95
230 8724 75
5525 2171 39
967 5457 24
1359 3165 39
3834 7105 3
2531 3318 20
1353 2752 34
4614 7064 81
2830 4717 1
368 3447 62
7779 7406 92
4912 8185 54
2455 4086 51
7875 5993 33
3001 6673 65
6473 2343 98
5819 3041 14
3900 6891 42
337 7439 2
2738 1724 49
7359 4452 41
5113 4218 3
31 7564 55
5195 4399 30
8425 4422 29
6157 3579 49
4067 8041 17
4884 6238 41
1876 1370 21
5425 5737 2
7960 4794 61
1980 126 37
4431 7826 51
8579 8302 83
419 2673 57
3491 8046 13
6758 8414 7
8693 4553 9
2365 5378 39
6487 7062 46
777 8005 36
8534 5727 99
2931 6273 21
2052 7842 4
6901 7517 89
7965 729 17
2719 3010 63
8157 8615 69
8558 8060 85
3430 3544 96
6088 1704 28
6200 1107 58
2571 1488 77
2404 6620 42
5610 3292 2
290 1970 79
1951 7200 72
720 1685 56
5095 4695 62
133 6584 72
4089 7420 45
1131 4815 16
4439 7708 26
1059 5981 9
2584 303 61
2967 4692 61
1952 4210 25
4122 5888 75
1789 4688 46
6440 8182 53
6136 5690 45
3149 4560 50
109 4575 38
2866 272 46
477 3825 90
801 5155 31
3386 5475 40
4190 4364 23
1668 827 23
7737 5005 29
5837 1745 78
8344 1917 43
1556 1450 92
5333 3609 25
1068 2928 60
7303 2857 45
5537 1254 76
8015 199 40
8707 6493 3
4659 3714 95
6310 2459 98
5853 5845 8
6439 7095 69
6124 5501 55
8093 8307 54
3308 7140 26
2593 8330 48
4959 7448 85
663 4819 67
4657 6755 91
855 799 14
7855 8940 20
2533 6732 83
7008 5765 88
3316 263 67
4189 5795 30
4515 7745 1
3048 8960 34
7912 2927 57
6828 3296 5
5060 1305 88
6911 8694 89
3813 5743 40
3819 1885 93
8042 2916 89
8337 4223 3
6512 6667 54
8497 6413 15
8091 8518 25
1187 8863 65
1911 3849 60
8591 1399 11
200 2917 92
7746 1877 11
1872 2296 25
2680 6002 53
1091 1064 8
8794 2733 86
8819 920 60
3860 5463 83
6279 2510 28
1077 2761 5
6237 6821 35
6826 4492 44
134 5180 66
6965 5345 66
8068 8206 19
8078 8635 56
652 2773 100
7507 2819 1
330 7103 26
7640 2466 46
4316 3965 21
6298 6663 34
1138 1782 99
2857 5165 7
1694 438 40
5052 6773 48
7948 2840 46
4980 8841 35
107 7375 28
806 3756 32
6848 2601 31
983 964 32
7281 3428 76
2666 3979 67
1359 5473 10
7064 7820 87
198 7626 25
5951 454 75
8374 5430 14
5886 7066 87
1633 2214 39
5614 8111 17
5726 6130 82
1701 366 99
8057 1982 12
6921 3494 31
3436 5758 65
2897 7915 85
5615 2392 19
1796 8977 96
4935 4737 54
4092 188 61
1497 4459 54
7040 809 67
3077 1665 79
4798 266 94
3717 5212 8
5956 2112 12
422 7760 85
2933 5820 71
4884 524 44
4193 8021 20
1560 5242 56
803 7044 34
5614 7736 94
5236 6022 35
7050 5855 91
4709 8505 91
7602 8386 98
4357 6035 68
1927 5887 55
6518 8667 15
3713 8620 51
8538 2835 6
7110 4934 6
2313 456 69
3431 5304 77
4025 8932 90
7766 4674 59
3082 2441 73
1944 2893 2
6579 1987 65
5198 3036 38
2839 8336 58
7689 6149 82
4534 871 3
1959 2958 8
4282 2761 48
3172 4552 39
4220 7189 21
6185 8600 88
537 1311 13
1953 6341 95
2339 2680 27
5001 1739 22
1547 4705 22
2774 7283 83
7711 7987 37
2960 4161 78
3898 6250 79
3797 858 8
4701 5358 43
8175 3380 11
8090 8349 80
5208 7276 57
4932 912 9
1058 568 94
6180 4541 20
8927 4384 74
7608 4942 43
6733 2588 59
7293 2245 19
8902 2561 22
3989 7856 4
3039 4208 35
6760 5545 57
6155 7543 99
5159 7508 44
7054 5994 46
3070 7043 17
8512 6950 84
4169 7766 77
6116 6338 32
2966 8923 25
4075 7586 69
1633 6721 98
1356 8037 89
4454 6753 51
3529 7688 11
1981 4682 38
5078 2621 49
6113 8767 40
7828 3648 26
6831 8899 19
8015 3619 41
1672 1966 1
6644 4861 61
953 4077 8
5066 2892 93
7802 7409 33
8149 7471 93
5422 7547 94
2460 8378 65
1883 3852 61
6858 8405 84
3304 7460 26
8130 3979 19
208 5718 77
4072 1869 18
1861 5965 53
2410 7117 28
5254 3147 19
3974 1640 73
18 1453 83
3476 3430 62
8270 8041 57
7029 4382 58
3017 4026 7
2117 8727 35
6313 8291 93
5472 4628 65
4246 2827 62
4087 1930 96
4976 974 8
1840 8876 68
77 5097 67
215 6790 57
7778 2534 35
7921 4931 89
2613 7248 56
7874 6045 97
5522 4295 10
4403 5560 21
1786 8556 84
605 8137 50
3563 2514 14
7142 6524 97
7952 3382 93
2044 4908 66
4728 3347 95
1603 2184 58
1883 292 6
5618 1 85
4311 5474 64
4278 7522 1
8662 640 98
3051 4895 40
4485 2298 71
7383 6911 45
2355 1048 87
3726 4798 22
6518 7746 67
3789 5914 97
3739 5333 58
8424 510 4
8154 5672 55
7811 1011 99
7141 7293 70
1913 4255 77
6645 3162 48
5988 5074 61
4942 7211 64
582 8682 18
4459 6196 51
3518 3273 56
2095 807 35
5020 1146 87
5887 8359 37
5547 2189 48
850 1934 70
4467 2301 13
497 1953 85
2697 6961 83
632 553 95
7881 4769 73
8043 640 46
2782 6668 26
1085 5576 10
7106 2597 70
5370 7244 76
106 7716 70
8024 2216 2
576 5270 64
932 6257 32
8144 2788 27
4760 284 10
4985 2314 82
4846 7679 68
2758 4030 59
2808 78 78
6317 5695 12
4403 1834 12
8162 4185 16
6907 7916 58
7774 5214 23
8931 8839 82
6415 1899 57
3274 3434 85
3773 2368 34
843 7332 84
6363 1065 96
8954 8029 8
6381 3466 63
6010 1345 92
4515 1305 11
6555 8000 7
8468 62 6
5610 1614 46
6111 8229 19
5823 8719 18
7878 8402 1
542 4329 24
8325 1523 85
3230 1262 30
5219 5229 92
1507 4844 58
3613 4419 36
1900 7790 35
6465 7909 18
3416 7388 23
3061 5852 33
3879 1927 35
2106 3214 15
8152 3063 62
3455 773 61
6073 8926 70
1344 303 36
468 2141 29
6693 4364 24
7143 8849 77
2540 966 88
8955 6424 9
3950 317 57
8716 2914 76
1424 3409 74
8412 6960 55
3445 8589 57
3550 5328 91
4466 4166 97
909 6140 12
4864 2738 47
8647 1242 85
1765 5768 46
8902 8653 11
2025 400 95
8202 4334 32
1498 5768 75
380 1734 99
2441 3240 89
1530 3811 3
1362 6747 12
7425 8396 51
6677 5340 90
5019 2263 32
7469 3533 41
8301 47 54
7147 6457 63
6763 1592 98
544 2977 17
4147 2708 24
5871 1483 2
2714 3197 37
7422 5450 55
922 3185 43
93 4493 31
1012 3531 58
8519 2449 24
475 3163 59
8793 3706 55
4090 990 31
3285 3867 89
8580 5080 80
4388 8019 66
1108 7914 65
4235 4462 57
3542 6388 65
3096 2738 96
1923 6700 85
7724 4248 89
6470 3764 73
4546 3482 75
1324 1312 91
2658 8699 89
8004 4007 91
2795 1950 86
4536 5372 75
5469 8954 33
8984 4392 10
3950 5648 93
5063 2209 2
305 4534 27
2964 8575 52
3029 1694 96
7967 7994 73
7014 6788 42
1027 8847 32
5499 2635 65
8581 3574 30
7760 3570 84
4263 2833 12
7319 3737 18
4055 4230 99
3843 1287 20
6834 2296 67
8721 4190 6
3672 8565 78
4345 53 98
5052 3556 11
1875 6258 65
7118 384 99
2927 2662 61
3108 810 96
409 4694 41
991 4164 85
2790 5600 15
1107 876 52
5959 4186 24
7828 8562 57
1365 7528 14
4660 1364 93
7034 3139 82
2148 7276 8
6517 82 82
5783 4862 85
2879 2581 78
795 6312 61
5268 3470 45
3773 6030 17
2637 1523 74
4895 6884 39
5815 4159 53
7166 641 92
7017 1185 66
3335 6456 51
5845 3316 59
245 2500 79
438 8302 44
3987 1555 97
3381 7792 100
3078 3627 95
6053 6739 69
632 4595 58
8094 8702 4
7327 8947 57
1611 5767 53
2891 123 24
609 1804 49
5364 3010 85
5980 8954 94
5896 1062 37
3056 1972 100
7378 3567 48
6903 3975 81
7122 7608 89
216 4177 15
5789 324 95
5640 1347 46
1508 1002 20
2567 5250 82
4697 5440 26
2832 335 46
8490 2893 1
2796 5593 51
2188 1316 11
1933 938 85
4277 2159 30
2952 1883 11
8454 7849 63
960 1788 19
7123 6638 82
5123 3619 74
5628 3577 22
3562 2243 73
6509 6327 64
469 823 86
7965 6074 45
1029 8290 25
6030 8669 56
7381 3887 57
7377 3334 10
6402 2535 46
5945 576 2
3736 4847 78
6053 4881 45
5017 5841 64
5125 5246 65
7926 4764 38
5060 3408 68
4375 7601 86
8424 4645 10
3216 785 94
160 4437 100
1200 3353 2
6189 3268 37
4313 6849 38
6554 6331 41
3008 8153 67
1537 7210 28
7268 7672 50
1124 3121 50
1155 7082 85
5449 4504 80
2720 4672 72
2408 6238 3
5641 7886 56
1626 4416 97
274 2891 56
6868 1556 62
8230 8442 39
7817 5405 33
1378 7250 63
6587 6265 1
7608 6785 75
3453 3734 89
7039 3295 43
2979 7652 40
1082 3553 83
7371 85 51
8863 2149 19
75 4613 60
7122 3658 44
6543 5122 36
2519 3681 91
6763 3528 77
4364 8192 86
8453 8513 63
2609 6463 1
8840 862 37
2011 6964 32
5515 1354 54
5861 8726 90
5054 1781 29
7741 1477 50
2843 2295 88
5437 1924 50
5401 1978 64
5541 1533 53
6581 3014 60
8281 3463 25
4340 1014 21
4677 7314 49
5134 2898 25
6190 6288 12
1656 7765 10
5240 2023 47
3318 6703 6
5103 1031 89
3304 8043 70
8423 3221 24
6258 1049 57
58 615 87
771 5966 41
7393 8073 78
4738 7061 3
2343 7544 9
5478 7013 47
1676 2762 19
155 6133 67
2399 7057 74
6476 247 7
6998 8504 44
184 7869 44
5565 7914 69
69 4115 25
5293 8753 28
3237 54 100
7062 3982 28
3796 7905 16
2723 3196 67
937 7654 87
3962 5410 86
4507 7299 93
7961 5820 60
6037 7160 71
6130 2359 7
8827 5975 76
5025 5103 74
2411 7597 96
5688 4369 74
1306 6422 64
1096 50 22
1507 4521 14
7095 6620 54
8145 4794 42
3586 1259 58
1334 7018 42
6948 6808 5
7262 1003 39
6600 4613 26
8555 1654 21
5285 285 11
3566 3093 98
969 90 35
8179 5933 82
1290 8392 62
3398 4127 13
2531 169 8
3851 6865 38
7512 5922 48
7538 6255 55
527 7651 15
8616 5513 97
1455 110 20
3018 4051 47
6003 6849 33
8976 8508 29
7879 4987 87
2178 5569 43
3034 5485 40
7925 2177 90
1894 8208 74
6915 8545 78
4648 822 56
8447 6317 32
6865 3368 48
3014 1548 81
3834 6241 68
2322 6711 49
7206 2590 72
7984 4498 100
1642 3278 47
5704 8272 39
4380 6896 35
6149 4338 9
4279 3602 83
2532 7948 18
6718 2450 100
6552 5553 17
6050 1029 23
8013 4817 71
8956 4501 52
599 7327 21
4323 1003 52
7958 3532 80
7514 5522 18
815 7331 81
1388 5449 96
6537 951 45
1374 8122 61
4482 673 92
5873 1564 71
7313 3083 94
2181 3149 48
4883 2272 28
566 3900 44
6607 7305 43
4924 5886 82
253 5069 52
4833 2684 2
7736 7769 5
6950 43 33
2380 2947 91
2948 597 50
3408 1427 77
6587 5909 65
2920 3148 82
5879 6469 59
3736 1936 67
8659 642 73
8372 1188 71
3016 1975 32
6354 8048 58
166 2916 66
2278 8241 56
1079 4187 97
1014 2234 100
2660 3059 100
7899 4699 22
8808 6055 1
7959 6730 38
7438 1506 53
3827 6455 49
8850 779 35
6467 1414 47
7751 4906 23
762 10 88
6552 4819 9
7920 5746 9
4258 1846 97
3333 390 56
4215 1300 37
832 4083 29
2779 7573 2
855 6454 51
2507 1837 33
4280 3930 49
2719 2435 48
8052 2080 6
4899 1202 2
3613 599 60
8430 1820 95
4854 1699 96
7414 5768 39
994 8056 52
2927 1049 53
1101 5174 18
3634 5847 82
4273 6743 83
1657 5534 2
6886 2467 65
6483 2454 97
524 954 78
3751 3278 48
6452 6004 50
3799 71 64
2973 7085 92
3418 7141 43
4070 5285 43
3713 1527 14
7512 1304 18
4650 4149 15
1674 1631 36
5241 5912 56
8520 7085 26
4229 7429 45
5864 8656 24
5974 8680 85
5301 7810 81
7693 3188 76
3890 4430 80
2459 1459 79
8750 7154 31
7906 2745 83
1985 570 92
8562 4593 13
8127 2765 2
5450 2953 68
1046 6294 63
7588 5432 100
2382 6970 2
7805 6673 63
4432 8573 61
2072 6768 74
5960 372 85
1636 6389 55
3366 4859 66
8362 1965 20
4876 2065 12
2172 6611 55
1119 3715 30
1784 413 22
566 1405 21
3496 3657 8
3785 4585 44
2664 6311 88
8276 1297 34
6242 4106 6
5256 2548 93
7408 106 8
8830 7016 30
7579 8394 80
2601 8405 16
2093 1309 39
3521 269 95
5319 2480 41
2882 8396 30
2484 8473 95
874 3558 25
6748 1062 42
1733 162 51
1568 5390 72
6078 5768 95
1533 5101 51
4255 5295 52
4456 6764 46
64 3856 96
3944 7733 47
4823 5512 36
2885 7745 10
4909 7333 35
4270 8810 69
2718 4775 95
7620 6081 18
4690 7959 63
913 3869 35
3585 2375 66
4682 8224 23
2355 6727 74
6232 7812 95
1346 470 71
741 3518 11
4153 7081 90
3970 5423 38
3750 4951 57
4215 2454 34
6436 4028 57
1601 11 70
3098 8486 37
4823 6534 63
3915 4051 84
1734 6340 62
7156 952 17
1973 4912 46
8816 2082 78
989 255 14
4224 7202 26
2847 7655 50
7063 1003 30
2161 5139 16
274 2845 70
4460 6741 82
8180 4699 56
3287 4073 63
4113 6642 40
8172 2380 11
7527 2354 67
5421 4611 18
4503 6902 92
5161 5096 22
8634 3281 89
8836 2927 70
6922 6143 63
6527 8850 72
1096 7203 26
5153 4536 59
7807 6687 34
441 6706 41
1850 7385 5
3672 7706 82
2647 6475 43
1645 4136 100
5463 8538 67
3598 7247 56
6858 2731 78
6431 1852 8
5121 1428 75
7781 7127 22
3205 8024 69
4976 1919 38
13 7051 16
5222 8307 12
7896 1903 32
898 4901 10
6316 3797 5
2631 2693 57
771 4760 74
7526 2919 86
5704 8729 95
5839 2947 90
2317 4086 27
6061 8237 100
4525 4299 12
8241 4963 72
2655 2269 93
6167 8765 40
4107 2932 57
1612 403 87
8526 2485 92
1576 919 21
5505 6599 98
6797 6314 19
8944 3235 5
5501 8628 98
5737 7321 44
1979 1428 38
1390 8749 61
8489 2436 81
3169 8506 63
3991 5778 33
7812 8262 86
8324 62 96
268 2281 6
4005 5701 60
4288 7761 51
8711 6051 36
4193 5087 70
2631 1588 21
4393 2151 49
2704 4596 13
6767 562 87
7985 301 46
6285 2900 65
1026 3019 74
7194 5503 2
1960 6846 96
468 4985 94
865 7386 49
7338 6670 95
3561 6551 1
5956 8650 59
8761 7720 93
8227 6242 92
7553 1870 52
4877 2982 8
2595 4315 25
290 8639 93
5976 3684 71
3223 3312 24
8184 8089 66
4670 192 64
4590 16 80
6392 3124 72
883 8214 98
1884 7786 94
8473 5834 99
1352 8450 62
487 7253 44
7243 7286 6
3127 8102 96
8744 3312 90
8852 8365 71
1477 3765 100
811 2662 11
6459 52 89
4498 3357 31
2433 8222 79
8376 7462 92
940 2414 4
5281 8794 46
2433 6115 39
2894 4412 68
7280 8904 32
6625 5043 88
1322 6038 49
5962 1869 98
146 2885 35
1071 4647 68
4504 6309 18
6835 8053 47
1651 2087 84
2756 2373 24
4205 3780 68
8149 5351 49
1211 324 3
650 94 42
3797 1421 33
5438 4377 8
3473 1468 34
3038 7611 60
5897 8282 90
3529 6080 29
7758 2135 27
8896 1375 43
6249 6969 8
708 7316 44
6930 8642 83
8421 2171 67
1382 4678 2
6620 4863 9
3018 8551 26
7725 4029 6
4201 7521 52
2258 488 3
7147 2048 69
1065 8946 18
1024 6498 13
906 2770 27
1596 2972 61
3688 3424 52
7046 1234 95
4400 2285 91
6080 8140 84
7976 2184 83
8420 8086 21
8341 1948 34
8279 2158 99
4262 7304 4
5615 8679 93
8828 639 89
1390 4422 75
7902 2154 1
6527 8236 77
2898 6562 26
5286 5219 38
8587 6747 51
121 8525 67
2150 5843 41
3305 1953 31
3669 4935 36
7740 3665 83
3603 8934 90
4423 3847 16
3558 4879 12
2119 3095 23
894 3668 46
5428 1946 98
1639 5197 83
3300 3442 85
4773 3701 94
6297 6136 20
2088 8801 51
539 4352 27
8557 8184 15
3754 6822 86
950 266 63
7145 7835 13
722 2012 76
3466 3389 72
1434 1870 79
1870 335 60
8890 2119 94
7222 3601 5
8274 2873 59
572 6997 19
5487 5494 85
4992 5950 78
121 8818 64
8873 5618 51
5765 7900 17
4028 3264 83
3771 1644 2
1331 3359 34
1624 5156 28
3059 6969 93
4349 1470 57
5164 1518 32
5394 6197 91
3791 6294 74
3451 5535 65
1801 458 68
4823 6441 27
8571 5916 34
1794 1886 96
39 5229 19
787 571 48
2357 726 21
2515 1379 45
3454 4671 21
8221 5048 12
1971 2908 90
6556 8486 16
1061 3154 18
6734 2666 44
1493 7695 87
6612 6668 26
6316 1615 30
4702 4387 70
4202 1249 62
3341 6231 45
3418 7916 12
4043 6573 19
8746 2713 92
8224 7093 30
6434 8102 88
3390 6193 84
2143 3789 49
4846 5930 21
3345 1053 50
2321 7258 75
6589 4379 59
6354 8408 73
8485 2471 41
4676 4000 13
4672 6724 70
3094 6411 98
244 8679 82
4599 4801 83
2354 822 70
2555 8757 73
2711 4009 57
4584 6335 82
3168 4939 71
8403 4899 45
2204 3795 76
8997 1564 42
4171 3670 51
8130 403 74
1253 4702 46
4715 5071 25
3996 8713 66
1170 1443 30
5730 7792 22
605 1649 9
7177 4967 95
2732 6393 51
3428 5458 61
5147 915 47
3082 7089 85
7102 5729 18
5626 3422 47
2391 984 25
265 5885 51
7628 5280 65
4908 1501 71
2801 1740 90
3739 2003 69
4535 1307 86
5190 912 63
7837 5065 92
4866 987 25
4345 826 83
7110 2758 14
4525 2953 91
5187 7765 88
4638 7960 2
1425 2639 37
4377 4927 7
7732 5019 31
7518 643 17
3125 2502 94
227 8957 43
6409 6481 25
6977 4739 17
480 2954 21
2653 6853 2
8783 563 98
1318 4890 81
2510 1744 14
7252 8239 100
2923 8060 13
2914 5703 11
5556 197 77
4878 2049 95
4556 5588 31
7542 7963 23
132 657 79
7684 6087 93
552 4822 89
3207 1134 35
2360 5889 5
1106 1991 46
1051 7708 70
249 6126 74
8602 2441 30
5900 7053 64
5769 5612 62
2798 5169 56
7676 4607 49
5602 1031 46
7762 8458 17
8632 325 44
2963 1293 46
1063 4917 76
3268 1233 11
402 7977 85
5986 1074 20
2530 6731 87
1339 8323 95
2738 2410 24
6522 6710 57
8027 7326 17
604 2587 93
7231 747 44
6069 3652 93
3066 1328 37
5676 6963 74
1271 8909 6
724 1271 57
5492 8735 86
1265 1330 82
1931 7011 30
3736 3054 53
8664 8133 97
4375 3724 32
7609 696 7
975 4109 10
7548 3010 30
1841 8673 94
3257 7098 75
1986 7907 72
8470 783 34
3410 5692 25
6230 6941 29
8170 4033 79
2245 6135 80
472 7779 40
5337 3174 68
2489 5382 35
6807 8630 1
4235 5009 47
1260 6583 75
3959 499 14
340 8775 4
5889 1619 31
8057 7260 87
242 6066 72
4702 3991 39
1580 279 78
1786 4299 42
6101 8845 33
8569 988 98
3567 3406 7
8670 6657 67
5846 933 64
8250 880 86
3533 4970 45
8184 2810 9
6017 5652 54
2620 1810 97
5696 1260 57
2288 3176 37
5011 1203 13
7365 5795 21
2454 5718 73
5227 8626 45
957 6536 81
4414 7849 59
498 1351 5
3945 535 64
7316 2145 66
6177 4445 91
7943 4024 50
4517 3358 66
64 3478 9
4288 8546 6
2439 7181 13
6425 8129 81
4890 3391 95
3569 2106 36
8853 4696 86
161 1581 23
1087 6341 61
2720 412 73
925 8402 3
561 876 5
6481 5586 55
904 8441 50
5280 5260 99
3142 2654 62
7695 3910 48
7773 7970 48
2317 7530 82
3165 1454 5
943 7735 17
3150 709 50
4767 709 74
4131 6745 2
3592 5439 31
3570 7132 45
2248 2758 71
3647 4191 81
6416 8953 8
4988 3002 56
6758 1454 81
8137 2716 2
1238 5180 94
4743 4127 78
2458 5435 88
5973 2614 74
2350 1409 21
3398 4563 24
823 6367 5
8736 2252 79
575 6862 26
3305 1298 65
2411 8286 99
8678 65 61
4342 1173 13
4168 8153 87
8564 4390 53
5088 4705 4
6673 6247 47
3387 720 32
8992 8165 50
5917 579 1
6181 5978 51
549 3946 16
5622 7530 39
1409 193 99
2807 2311 47
6639 3738 41
5818 7277 63
6052 8067 12
5167 7170 16
8728 6797 75
5536 847 17
1249 8600 80
3714 8731 28
6228 7968 30
8449 7955 55
438 7123 14
4224 8307 5
6812 4990 80
355 7322 70
8594 6235 18
5143 5489 45
7613 3266 7
1479 7284 37
4368 3647 52
7008 4611 68
6110 939 57
2359 3417 51
2908 6500 90
7020 3384 78
8686 5800 22
3957 6939 83
8214 169 39
5320 681 54
1328 7740 81
8182 449 28
6807 7861 97
2928 8874 83
2424 5937 72
8570 3621 99
8067 4426 99
3205 8090 82
2670 7062 98
6067 3445 22
5057 3252 19
2881 8036 81
206 5000 57
2224 1805 20
6513 5303 47
708 362 21
7101 4278 44
4957 2146 30
7349 941 82
4932 1519 23
8148 7546 12
2631 2455 29
6962 3188 21
7058 1569 5
2308 1931 10
3511 1830 44
39 4116 97
3211 6453 9
1127 678 13
4365 4267 54
3216 5168 98
3409 1074 40
6464 146 37
3414 7971 50
2761 211 14
7189 2587 7
6114 253 38
5474 6188 16
4742 2694 69
4930 3181 87
5244 345 50
3714 8015 50
695 2158 41
8965 2886 30
1283 494 26
7938 4750 38
8940 8804 24
3305 3070 95
1948 4380 52
5424 8334 92
5293 3390 13
852 1045 86
3828 7812 81
2186 6794 74
5063 4094 25
4940 5471 8
6794 5635 52
1486 3739 31
8851 83 68
5122 4260 74
6872 2728 72
6504 6138 86
1017 5717 63
358 7619 83
1976 3671 26
3313 2347 4
2316 8973 78
6494 7925 80
2609 7031 73
5117 4682 64
4168 7881 22
7726 8082 29
1251 8519 64
8742 3914 39
8481 2235 35
2533 7226 87
8254 2593 40
310 3760 38
5130 395 74
2833 2685 41
3016 4657 100
8903 2169 88
5290 7606 13
4328 7007 88
4624 7242 80
3428 3689 38
2442 2319 26
8905 6746 48
1580 8051 66
5110 3275 17
36 8905 13
2052 6072 28
8923 1608 86
5877 2415 43
4400 4051 89
6520 7706 18
8695 4340 74
2502 8429 53
